# Generated character part exports
base,kind,name,asset_id,file
drizzel,weapon,stick,player.part.drizzel.weapon.stick,assets/models/player/parts/drizzel_weapon_stick.glb
drizzel,body,drizzle,player.part.drizzel.body.drizzle,assets/models/player/parts/drizzel_body_drizzle.glb
drizzel,fx,ui_circle,player.part.drizzel.fx.ui_circle,assets/models/player/parts/drizzel_fx_ui_circle.glb
drizzel,fx,ui,player.part.drizzel.fx.ui,assets/models/player/parts/drizzel_fx_ui.glb
gekkou,fx,info_circle,player.part.gekkou.fx.info_circle,assets/models/player/parts/gekkou_fx_info_circle.glb
gekkou,gear,scabbard,player.part.gekkou.gear.scabbard,assets/models/player/parts/gekkou_gear_scabbard.glb
gekkou,weapon,katana,player.part.gekkou.weapon.katana,assets/models/player/parts/gekkou_weapon_katana.glb
gekkou,body,gekkou,player.part.gekkou.body.gekkou,assets/models/player/parts/gekkou_body_gekkou.glb
gekkou,fx,smoke,player.part.gekkou.fx.smoke,assets/models/player/parts/gekkou_fx_smoke.glb
kasa,body,kasa,player.part.kasa.body.kasa,assets/models/player/parts/kasa_body_kasa.glb
kasa,gear,tail,player.part.kasa.gear.tail,assets/models/player/parts/kasa_gear_tail.glb
kasa,gear,cape,player.part.kasa.gear.cape,assets/models/player/parts/kasa_gear_cape.glb
kasa,gear,tissue_a,player.part.kasa.gear.tissue_a,assets/models/player/parts/kasa_gear_tissue_a.glb
kasa,gear,tissue_b,player.part.kasa.gear.tissue_b,assets/models/player/parts/kasa_gear_tissue_b.glb
kasa,fx,fake_smoke,player.part.kasa.fx.fake_smoke,assets/models/player/parts/kasa_fx_fake_smoke.glb
kasa,weapon,katana,player.part.kasa.weapon.katana,assets/models/player/parts/kasa_weapon_katana.glb
kurenai,gear,cloth,player.part.kurenai.gear.cloth,assets/models/player/parts/kurenai_gear_cloth.glb
kurenai,fx,fake_smoke,player.part.kurenai.fx.fake_smoke,assets/models/player/parts/kurenai_fx_fake_smoke.glb
kurenai,body,body,player.part.kurenai.body.body,assets/models/player/parts/kurenai_body_body.glb
kurenai,head,head,player.part.kurenai.head.head,assets/models/player/parts/kurenai_head_head.glb
kurenai,fx,info_circle,player.part.kurenai.fx.info_circle,assets/models/player/parts/kurenai_fx_info_circle.glb
samidale,body,samidale,player.part.samidale.body.samidale,assets/models/player/parts/samidale_body_samidale.glb
samidale,gear,pipe,player.part.samidale.gear.pipe,assets/models/player/parts/samidale_gear_pipe.glb
samidale,gear,cape_up,player.part.samidale.gear.cape_up,assets/models/player/parts/samidale_gear_cape_up.glb
samidale,gear,cape_down,player.part.samidale.gear.cape_down,assets/models/player/parts/samidale_gear_cape_down.glb
shogun,body,shogun,player.part.shogun.body.shogun,assets/models/player/parts/shogun_body_shogun.glb
shogun,weapon,katana,player.part.shogun.weapon.katana,assets/models/player/parts/shogun_weapon_katana.glb
shogun,gear,scabbard,player.part.shogun.gear.scabbard,assets/models/player/parts/shogun_gear_scabbard.glb
